name,country,institution,dblp,pid,final_url,expertise
bikash chandra,switzerland,ecole polytechnique federale de lausanne,https://dblp.org/pid/131/6284.html,131-6284,https://dblp.org/pid/131/6284.html,2
bill howe,united states,university of washington,https://dblp.org/pid/h/BillHowe.html,h-BillHowe,https://dblp.org/pid/h/BillHowe.html,9
bin cui,china,peking university,https://dblp.org/pid/55/5031.html,55-5031,https://dblp.org/pid/55/5031.html,7
bin wu,china,alibaba,https://dblp.org/pid/98/4432-3.html,98-4432-3,https://dblp.org/pid/98/4432-3.html,4
bin yang,denmark,aalborg university,https://dblp.uni-trier.de/pers/hd/y/Yang_0002:Bin,77-377-2,https://dblp.uni-trier.de/pid/77/377-2.html,1
bingsheng he,singapore,national university of singapore,https://dblp.org/pid/h/BingshengHe.html,h-BingshengHe,https://dblp.org/pid/h/BingshengHe.html,9
bingsheng he,singapore,nus,https://dblp.org/pid/h/BingshengHe.html,h-BingshengHe,https://dblp.org/pid/h/BingshengHe.html,4
biplav srivastava,united states,ibm,https://dblp.org/pers/s/Srivastava:Biplav.html,33-4411,https://dblp.org/pid/33/4411.html,8
birgitta koenig-ries,germany,friedrich-schiller-universitat jena,https://dblp.uni-trier.de/pid/k/BKonigRies.html,k-BKonigRies,https://dblp.uni-trier.de/pid/k/BKonigRies.html,10
bjarn jansson,denmark,it university of copenhagen,https://dblp.uni-trier.de/pers/hd/j/J=oacute=nsson_0001:Bj=ouml=rn_=THORN==oacute=r,j-BjornTorJonsson1,https://dblp.uni-trier.de/pid/j/BjornTorJonsson1.html,9
bo li,hong kong sar,hkust,https://dblp.org/pid/50/3402-1.html,50-3402-1,https://dblp.org/pid/50/3402-1.html,5
bo xu,china,donghua university,https://dblp.org/pid/26/1194-23.html,26-1194-23,https://dblp.org/pid/26/1194-23.html,6
bolin ding,china,"data analytics and intelligence lab, alibaba group",https://dblp.org/pers/d/Ding:Bolin.html,46-3522,https://dblp.org/pid/46/3522.html,7
